HIP1,HIP2,Cst
677,3092,And
3092,5447,And
5447,9640,And
9640,7607,And
5447,4436,And
4436,3881,And
37826,36850,Gem
36850,32246,Gem
32246,30343,Gem
30343,30883,Gem
30883,31681,Gem
31681,34088,Gem
34088,37826,Gem
30343,29655,Gem
67301,65378,UMa
65378,62956,UMa
62956,59774,UMa
59774,54061,UMa
54061,53910,UMa
53910,58001,UMa
58001,59774,UMa
35904,34444,CMa
34444,33977,CMa
33977,32349,CMa
32349,30324,CMa
30324,33579,CMa
33579,34444,CMa
77853,76333,Lib
76333,74785,Lib
74785,72622,Lib
76470,74785,Lib
74785,73714,Lib
114855,114724,Aqr
114724,111497,Aqr
111497,110960,Aqr
110960,110395,Aqr
110395,109074,Aqr
109074,106278,Aqr
111497,112961,Aqr
112961,112716,Aqr
112716,113136,Aqr
25428,28380,Aur
28380,28360,Aur
28360,24608,Aur
24608,23767,Aur
23767,23015,Aur
23015,25428,Aur
74395,76552,Lup
76552,76297,Lup
76297,75141,Lup
75141,73273,Lup
73273,71860,Lup
71860,74395,Lup
74395,71536,Lup
71860,70576,Lup
75141,75177,Lup
76297,78384,Lup
78384,78918,Lup
78918,77634,Lup
77634,78384,Lup
69673,72105,Boo
72105,74666,Boo
74666,73555,Boo
73555,71075,Boo
71075,69673,Boo
69673,67927,Boo
59316,61359,Crv
61359,60965,Crv
60965,59803,Crv
59803,59316,Crv
59316,59199,Crv
86414,87808,Her
87808,84606,Her
84606,83207,Her
83207,84379,Her
84379,84345,Her
83207,81693,Her
79101,79992,Her
79992,81126,Her
81126,81833,Her
81833,81693,Her
81693,80816,Her
80816,80170,Her
42313,43109,Hya
43109,43813,Hya
43813,45336,Hya
45336,46776,Hya
46776,47431,Hya
47431,46390,Hya
46390,45751,Hya
45751,48356,Hya
48356,49402,Hya
49402,49841,Hya
49841,51069,Hya
51069,52943,Hya
52943,56343,Hya
56343,57936,Hya
57936,64962,Hya
64962,65835,Hya
65835,68895,Hya
30277,29807,Col
29807,27628,Col
25859,23595,Col
27628,26634,Col
26634,25859,Col
27628,28328,Col
63125,61317,CVn
63608,63090,Vir
63090,61941,Vir
61941,65474,Vir
65474,66249,Vir
66249,63090,Vir
61941,60129,Vir
60129,57757,Vir
101421,101769,Del
101769,102281,Del
102281,102532,Del
102532,101958,Del
101958,101769,Del
56211,61281,Dra
61281,68756,Dra
68756,75458,Dra
75458,78527,Dra
78527,80331,Dra
80331,83895,Dra
83895,89937,Dra
89937,94376,Dra
94376,87585,Dra
87585,85819,Dra
85819,85670,Dra
85670,87833,Dra
87833,87585,Dra
29651,28413,Mon
28413,30093,Mon
30093,29651,Mon
85258,88714,Ara
88714,85792,Ara
85792,83081,Ara
83081,82363,Ara
82363,85727,Ara
85727,85267,Ara
85267,85258,Ara
32607,27530,Pic
27530,27321,Pic
108085,109111,Gru
109111,109268,Gru
109268,112122,Gru
112122,114421,Gru
114421,114131,Gru
114131,110997,Gru
110997,109268,Gru
112122,113638,Gru
112122,112623,Gru
23685,25606,Lep
25606,25985,Lep
25985,24305,Lep
24305,23685,Lep
84970,84012,Oph
84012,86742,Oph
86742,86032,Oph
86032,83000,Oph
83000,80883,Oph
80883,79593,Oph
79593,79882,Oph
79882,81377,Oph
81377,84012,Oph
78072,77233,Ser
77450,77233,Ser
77233,76276,Ser
76276,77070,Ser
77070,77622,Ser
77622,79593,Ser
92951,89962,Ser
89962,88048,Ser
88048,86263,Ser
86263,84012,Ser
19893,21281,Dor
21281,26069,Dor
26069,27890,Dor
27890,27100,Dor
27100,26069,Dor
101772,103227,Ind
103227,105319,Ind
105319,101772,Ind
8886,6686,Cas
6686,4427,Cas
4427,3179,Cas
3179,746,Cas
39429,39953,Car
39953,41037,Car
31685,30438,Car
30438,41037,Car
41037,42568,Car
42568,45080,Car
45080,45556,Car
45556,50371,Car
50371,51232,Car
51232,53253,Car
53253,54463,Car
54463,52468,Car
52468,52419,Car
52419,50099,Car
50099,45238,Car
14135,12706,Cet
12706,12387,Cet
12387,10826,Cet
10826,8645,Cet
8645,8102,Cet
8102,9347,Cet
8645,6537,Cet
6537,5364,Cet
5364,1562,Cet
1562,3419,Cet
3419,5364,Cet
5364,8102,Cet
100027,100345,Cap
100345,101027,Cap
101027,102485,Cap
102485,102978,Cap
102978,104234,Cap
104234,105881,Cap
105881,107188,Cap
107188,107556,Cap
107556,106985,Cap
106985,104139,Cap
104139,100345,Cap
43409,42828,Pyx
42828,42515,Pyx
32768,36377,Pup
36377,39429,Pup
39429,39757,Pup
39757,38170,Pup
38170,35264,Pup
35264,31685,Pup
31685,32768,Pup
102098,100453,Cyg
100453,95947,Cyg
100453,97165,Cyg
97165,95853,Cyg
100453,102488,Cyg
102488,104732,Cyg
50583,49669,Leo
49669,54879,Leo
54879,57632,Leo
57632,54872,Leo
54872,53954,Leo
53954,50583,Leo
50583,50335,Leo
50335,48455,Leo
48455,47908,Leo
47908,46750,Leo
39794,44382,Vol
44382,41312,Vol
41312,39794,Vol
39794,37504,Vol
37504,34481,Vol
34481,39794,Vol
39794,35228,Vol
91262,91971,Lyr
91971,92791,Lyr
92791,93194,Lyr
93194,92420,Lyr
92420,91971,Lyr
11767,85822,Umi
85822,82080,Umi
82080,77055,Umi
77055,72607,Umi
72607,75097,Umi
75097,79822,Umi
79822,77055,Umi
46952,49593,LMi
49593,51233,LMi
51233,53229,LMi
37279,36188,CMi
61199,61585,Mus
61585,62322,Mus
62322,57363,Mus
57363,61199,Mus
79509,80000,Nor
80000,80582,Nor
80582,78639,Nor
78639,79509,Nor
80000,78639,Nor
13209,9884,Ari
9884,8903,Ari
8903,8832,Ari
